Value,Disaggregation combinations using this value,Number of indicators
Взносы/отчисления на социальные нужды,1,1
"Доходы, всего",1,1
Доходы от продажи нефинансовых активов,1,1
Налоговые доходы,1,1
Неналоговые доходы,1,1
Полученные официальные траснферты,1,1
