Value,Disaggregation combinations using this value,Number of indicators
Беднейший,7,5
беднейший,2,1
Богатейший,7,5
богатейший,2,1
Второй,7,5
второй,2,1
Средний,7,5
средний,2,1
Четвертый,7,5
четвертый,2,1
