Value,en,Disaggregation combinations using this value,Number of indicators
квинтиль 1 (самые бедные),Quintile 1 (poorest),9,8
квинтиль 2,Quintile 2,9,8
квинтиль 3,Quintile 3,9,8
квинтиль 4,Quintile 4,9,8
квинтиль 5 (самые богатые),Quintile 5 (richest),9,8
