Value,Disaggregation combinations using this value,Number of indicators
CL_EDUCATION_LEV.AGG_3_4,4,2
CL_EDUCATION_LEV.ISCED11_0,1,1
CL_EDUCATION_LEV.ISCED11_1,5,5
CL_EDUCATION_LEV.ISCED11_2,9,8
CL_EDUCATION_LEV.ISCED11_3,9,8
CL_EDUCATION_LEV.ISCED11_4,9,8
CL_EDUCATION_LEV.ISCED11_5,13,8
CL_EDUCATION_LEV.ISCED11_6_7,7,3
