Value,Disaggregation combinations using this value,Number of indicators
KG,3,1
KG02,1,1
KG03,1,1
KG04,1,1
KG05,1,1
KG06,2,1
KG07,1,1
KG08,1,1
KG11,1,1
KG21,1,1
