Value,en,Disaggregation combinations using this value,Number of indicators
_L_AGG_DAIRY,_L_AGG_DAIRY,1,1
_L_AGG_EGGS,_L_AGG_EGGS,1,1
_L_AGG_FISH,_L_AGG_FISH,1,1
_L_AGG_FRUITS_BERRIES,_L_AGG_FRUITS_BERRIES,1,1
_L_AGG_MEATS,_L_AGG_MEATS,1,1
_L_AGG_POTATO,_L_AGG_POTATO,1,1
_L_AGG_SUGAR,_L_AGG_SUGAR,1,1
_L_AGG_VEGOILS,_L_AGG_VEGOILS,1,1
_L_AGG_VEGS_GOURDS,_L_AGG_VEGS_GOURDS,1,1
_L_AGG_WHEATS,_L_AGG_WHEATS,1,1
