Value,Disaggregation combinations using this value,Number of indicators
Высшее,2,2
Дошкольное или нет/Начальное,1,1
Дошкольное/Начальное,1,1
Основное общее,2,2
Профессиональное начальное/среднее,1,1
Профессиональное среднее,1,1
Среднее общее,2,2
