Value,Disaggregation combinations using this value,Number of indicators
Высшее профессиональное,1,1
Высшее,1,1
Другое,1,1
Начальное и ниже,5,5
Незаконченное высшее профессиональное,1,1
Основное общее,6,6
Профессиональное высшее,5,5
Профессиональное начальное/среднее,1,1
"Профессиональное среднее, общее",3,3
Профессиональное среднее/ общее,1,1
Профессиональное среднее/общее,1,1
Среднее общее,7,7
Среднее профессиональное,1,1
