Indicator,Disaggregation combinations using this value
#1-2-1-1a,1
#1-3-1-1e,1
#13-1-1,10
#16-3-1,3
#16-5-1-1b,2
#16-b-1,32
#16-b-1-1,33
#2-2-1,1
#3-1-1,10
#3-3-2,10
#3-3-4,10
#3-5-1-1,10
#3-5-2-1,10
#3-7-1,31
#3-7-2,10
#3-9-1-1,9
#4-1-1-1a,16
#4-2-1,1
#4-3-1-1a,3
#4-4-1,18
#4-4-1-1a,2
#5-2-1-1a,5
#5-3-1,40
#5-5-1,1
#5-5-2,1
#5-6-1-1,12
#8-3-1-1,1
#8-5-1-1,20
#8-5-2,10
#8-6-1,1
#8-8-1,16
#9-2-2,1
