Value,en,Disaggregation combinations using this value,Number of indicators
At the time of departure of cargo.,At the time of departure of cargo.,2,1
CUR_LCU,CUR_LCU,1,1
PT,PT,1,1
Since 2014 excluding  departmental transport.,Since 2014 excluding  departmental transport.,1,1
