Value,Disaggregation combinations using this value,Number of indicators
CL_QUANTILE.Q1,9,8
CL_QUANTILE.Q2,9,8
CL_QUANTILE.Q3,9,8
CL_QUANTILE.Q4,9,8
CL_QUANTILE.Q5,9,8
