Value,Disaggregation combinations using this value,Number of indicators
CL_AREA.KG,536,99
CL_AREA.KG02,73,44
CL_AREA.KG03,73,44
CL_AREA.KG04,73,44
CL_AREA.KG05,72,44
CL_AREA.KG06,72,44
CL_AREA.KG07,71,44
CL_AREA.KG08,73,44
CL_AREA.KG11,70,43
CL_AREA.KG21,69,43
