Value,Disaggregation combinations using this value,Number of indicators
Высшее,2,2
высшее,2,1
Основное общее,2,2
основное общее,2,1
Профессиональное начальное/среднее,2,2
профессиональное начальное/среднее,2,1
Среднее общее,2,2
среднее общее,2,1
