Value,Disaggregation combinations using this value,Number of indicators
AGG_3_4,4,2
ISCED11_0,1,1
ISCED11_1,5,5
ISCED11_2,10,8
ISCED11_3,10,8
ISCED11_4,10,8
ISCED11_5,14,8
ISCED11_6_7,7,3
