Value,en,Disaggregation combinations using this value,Number of indicators
Баткенская область,Batken,89,55
г. Бишкек,Bishkek (city),87,54
Чуйская область,Chui,90,55
Иссык-Кульская область,Issyk-Kul,90,55
Жалал-Абад область,Jalal-Abad,90,55
Kyrgyzstan,Kyrgyzstan,636,118
Нарынская область,Naryn,90,55
г. Ош,Osh (city),86,54
Ошская область,Osh,89,55
Таласская область,Talas,88,55
