Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2010,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,7562.0
2011,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,8634.0
2012,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,9544.4
2013,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,8326.8
2014,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,7658.0
2015,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,7569.0
2016,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,7333.7
2017,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,7657.8
2018,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,,Миллион кубометров в год,7758.0
2012,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,9319.3
2013,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,8218.9
2014,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,7432.4
2015,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,7225.2
2016,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,7125.0
2017,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,7433.2
2018,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: природный,Миллион кубометров в год,7513.0
2010,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,324.1
2011,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,201.3
2012,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,224.9
2013,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,107.9
2014,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,225.6
2015,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,343.8
2016,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,208.7
2017,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,224.6
2018,Годовая,Национальный,Общий объем забора пресной воды ,Киргизия,Источник воды: подземный горизонт,Миллион кубометров в год,245.0
2010,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,577.7
2011,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,586.7
2012,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,570.2
2013,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,967.7
2014,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,615.1
2015,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,643.1
2016,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,645.2
2017,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,632.8
2018,Годовая,Национальный,Общий объем забора пресной воды ,Баткенская область,,Миллион кубометров в год,647.7
2010,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,695.2
2011,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,1197.2
2012,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,716.6
2013,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,716.6
2014,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,781.4
2015,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,985.7
2016,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,948.9
2017,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,936.2
2018,Годовая,Национальный,Общий объем забора пресной воды ,Джалал-Абадская область,,Миллион кубометров в год,926.6
2010,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,555.3
2011,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,905.6
2012,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,966.4
2013,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,628.3
2014,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,628.5
2015,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,578.9
2016,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,524.6
2017,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,623.7
2018,Годовая,Национальный,Общий объем забора пресной воды ,Иссык-Кульская область,,Миллион кубометров в год,621.1
2010,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,592.3
2011,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,590.7
2012,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,636.4
2013,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,644.2
2014,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,607.7
2015,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,620.5
2016,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,607.7
2017,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,614.8
2018,Годовая,Национальный,Общий объем забора пресной воды ,Нарынская область,,Миллион кубометров в год,642.3
2010,Годовая,Национальный,Общий объем забора пресной воды ,Ошская область,,Миллион кубометров в год,1290.3
