Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Композитная разбивка,Units,Value
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,46.6
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,109.3
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,105.6
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Anti-epizootic measures,Местная валюта,153.6
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,190.9
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,190.1
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,158.7
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,90.9
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,109.3
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,107.2
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,150.8
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,134.6
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Veterinary diagnostics,Местная валюта,245.1
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,72.3
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,50.0
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,29.3
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,43.9
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,42.5
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,60.1
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,88.8
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,85.9
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Plant chemicals, protection and
quarantine",Местная валюта,132.2
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,150.6
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,175.6
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,189.3
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,235.6
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,277.1
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,392.6
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,358.6
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,231.4
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services for the protection
of biodiversity and landscape",Местная валюта,212.8
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,2.9
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,4.3
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,4.6
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,6.2
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,6.7
2015,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,7.1
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,6.3
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Research and development work
related to environmental protection",Местная валюта,6.3
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Environmental issues not classified elsewhere,Местная валюта,11.0
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Environmental issues not classified elsewhere,Местная валюта,11.2
2012,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Environmental issues not classified elsewhere,Местная валюта,9.8
2013,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Environmental issues not classified elsewhere,Местная валюта,11.2
2014,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Environmental issues not classified elsewhere,Местная валюта,9.6
2017,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Environmental issues not classified elsewhere,Местная валюта,163.5
2010,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services on environmental
protection",Местная валюта,6.3
2011,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services on environmental
protection",Местная валюта,2.2
2016,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services on environmental
protection",Местная валюта,2.6
2018,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,"Expenditure on Other services on environmental
protection",Местная валюта,7.7
