Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,78.2
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,54.3
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,48.7
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,45.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,42.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,35.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,31.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,26.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,26.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,22.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,25.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_070301_1,,_L_TCE_MN_KGS,25.5
