Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2016,Annual,National,Water loss at transportation (volume),Таласская область,Million of cubic metres per annum,294.0
2017,Annual,National,Water loss at transportation (volume),Таласская область,Million of cubic metres per annum,300.7
2018,Annual,National,Water loss at transportation (volume),Таласская область,Million of cubic metres per annum,299.1
2010,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,627.5
2011,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,717.2
2012,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,836.3
2013,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,774.1
2014,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,764.2
2015,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,856.3
2016,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,614.8
2017,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,804.6
2018,Annual,National,Water loss at transportation (volume),Чуйская область,Million of cubic metres per annum,786.3
2010,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,24.7
2011,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,25.0
2013,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,24.2
2014,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,24.9
2015,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,23.9
2016,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,23.8
2017,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,24.6
2018,Annual,National,Water loss at transportation (volume),г. Бишкек,Million of cubic metres per annum,25.3
2017,Annual,National,Water loss at transportation (volume),г. Ош,Million of cubic metres per annum,6.8
2018,Annual,National,Water loss at transportation (volume),г. Ош,Million of cubic metres per annum,6.8
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,23.4
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,21.7
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,21.7
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,22.5
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,26.5
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,27.6
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,25.1
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,27.8
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Kyrgyzstan,Процент,26.9
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,20.1
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,20.2
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,9.6
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,9.6
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,7.9
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,17.8
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,17.7
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,16.7
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Баткенская область,Процент,15.6
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,27.3
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,18.3
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,63.0
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,63.0
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,44.8
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,21.1
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,21.1
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,22.9
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Жалал-Абад область,Процент,20.1
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,29.7
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,17.1
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,18.8
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,27.7
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,31.6
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,27.3
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,31.5
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,29.6
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Иссык-Кульская область,Процент,31.2
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,31.9
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,30.8
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,30.5
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,30.6
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,32.4
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,30.5
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,29.9
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,30.4
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Нарынская область,Процент,30.3
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,17.1
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,17.8
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,26.8
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,25.3
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,20.5
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,19.5
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,21.9
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,25.3
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Ошская область,Процент,25.6
2010,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,27.6
2011,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,28.7
2012,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,29.2
2013,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,30.1
2014,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,29.2
2015,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,30.6
2016,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,31.1
2017,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,30.3
2018,Annual,National,Water loss at transportation as proportion of total water withdrawal,Таласская область,Процент,31.1
