Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2014,Годовая,Национальный,_L_KG_110701_1A,Киргизия,HA,1.8
2015,Годовая,Национальный,_L_KG_110701_1A,Киргизия,HA,1.7
2016,Годовая,Национальный,_L_KG_110701_1A,Киргизия,HA,1.8
2017,Годовая,Национальный,_L_KG_110701_1A,Киргизия,HA,1.7
2018,Годовая,Национальный,_L_KG_110701_1A,Киргизия,HA,1.7
2014,Годовая,Национальный,_L_KG_110701_1A,Баткенская область,HA,0.3
2015,Годовая,Национальный,_L_KG_110701_1A,Баткенская область,HA,0.1
2016,Годовая,Национальный,_L_KG_110701_1A,Баткенская область,HA,0.1
2017,Годовая,Национальный,_L_KG_110701_1A,Баткенская область,HA,0.1
2018,Годовая,Национальный,_L_KG_110701_1A,Баткенская область,HA,0.2
2014,Годовая,Национальный,_L_KG_110701_1A,Джалал-Абадская область,HA,0.8
2015,Годовая,Национальный,_L_KG_110701_1A,Джалал-Абадская область,HA,0.8
2016,Годовая,Национальный,_L_KG_110701_1A,Джалал-Абадская область,HA,0.9
2017,Годовая,Национальный,_L_KG_110701_1A,Джалал-Абадская область,HA,0.9
2018,Годовая,Национальный,_L_KG_110701_1A,Джалал-Абадская область,HA,0.9
2014,Годовая,Национальный,_L_KG_110701_1A,Иссык-Кульская область,HA,1.4
2015,Годовая,Национальный,_L_KG_110701_1A,Иссык-Кульская область,HA,1.3
2016,Годовая,Национальный,_L_KG_110701_1A,Иссык-Кульская область,HA,1.4
2017,Годовая,Национальный,_L_KG_110701_1A,Иссык-Кульская область,HA,0.4
2018,Годовая,Национальный,_L_KG_110701_1A,Иссык-Кульская область,HA,0.4
2014,Годовая,Национальный,_L_KG_110701_1A,Нарынская область,HA,1.4
2015,Годовая,Национальный,_L_KG_110701_1A,Нарынская область,HA,1.5
2016,Годовая,Национальный,_L_KG_110701_1A,Нарынская область,HA,1.6
2017,Годовая,Национальный,_L_KG_110701_1A,Нарынская область,HA,1.7
2018,Годовая,Национальный,_L_KG_110701_1A,Нарынская область,HA,1.9
2014,Годовая,Национальный,_L_KG_110701_1A,Ошская область,HA,0.3
2015,Годовая,Национальный,_L_KG_110701_1A,Ошская область,HA,0.3
2016,Годовая,Национальный,_L_KG_110701_1A,Ошская область,HA,0.4
2017,Годовая,Национальный,_L_KG_110701_1A,Ошская область,HA,0.4
2018,Годовая,Национальный,_L_KG_110701_1A,Ошская область,HA,0.5
2014,Годовая,Национальный,_L_KG_110701_1A,Таласская область,HA,0.8
2015,Годовая,Национальный,_L_KG_110701_1A,Таласская область,HA,0.8
2016,Годовая,Национальный,_L_KG_110701_1A,Таласская область,HA,0.8
2017,Годовая,Национальный,_L_KG_110701_1A,Таласская область,HA,0.8
2018,Годовая,Национальный,_L_KG_110701_1A,Таласская область,HA,0.8
2014,Годовая,Национальный,_L_KG_110701_1A,Чуйская область,HA,2.2
2015,Годовая,Национальный,_L_KG_110701_1A,Чуйская область,HA,2.1
2016,Годовая,Национальный,_L_KG_110701_1A,Чуйская область,HA,2.1
2017,Годовая,Национальный,_L_KG_110701_1A,Чуйская область,HA,2.1
2018,Годовая,Национальный,_L_KG_110701_1A,Чуйская область,HA,2.1
2014,Годовая,Национальный,_L_KG_110701_1A,г. Бишкек,HA,5.3
2015,Годовая,Национальный,_L_KG_110701_1A,г. Бишкек,HA,5.1
2016,Годовая,Национальный,_L_KG_110701_1A,г. Бишкек,HA,5.1
2017,Годовая,Национальный,_L_KG_110701_1A,г. Бишкек,HA,5.0
2018,Годовая,Национальный,_L_KG_110701_1A,г. Бишкек,HA,4.7
2014,Годовая,Национальный,_L_KG_110701_1A,г. Ош,HA,3.8
2015,Годовая,Национальный,_L_KG_110701_1A,г. Ош,HA,3.6
2016,Годовая,Национальный,_L_KG_110701_1A,г. Ош,HA,3.6
2017,Годовая,Национальный,_L_KG_110701_1A,г. Ош,HA,3.5
2018,Годовая,Национальный,_L_KG_110701_1A,г. Ош,HA,3.6
