Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,14.6
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,13.0
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,17.2
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,13.8
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,13.2
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,15.2
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,Нарынская область,На 100 000 населения,10.2
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,4.6
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,4.4
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,4.5
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,4.2
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,4.7
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,5.3
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,6.2
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,5.8
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,4.4
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,3.9
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,3.8
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,Ошская область,На 100 000 населения,2.9
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,4.9
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,4.0
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,7.5
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,7.8
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,5.1
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,5.1
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,12.4
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,6.1
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,8.4
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,4.3
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,3.1
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,Таласская область,На 100 000 населения,3.8
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,15.8
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,17.9
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,17.8
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,20.1
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,17.2
2012,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,20.5
2013,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,14.2
2014,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,14.4
2015,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,13.8
2016,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,16.7
2017,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,15.2
2018,Годовая,Национальный,Коэффициент смертности от самоубийств ,Чуйская область,На 100 000 населения,13.7
2007,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,10.3
2008,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,5.3
2009,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,5.7
2010,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,8.6
2011,Годовая,Национальный,Коэффициент смертности от самоубийств ,г. Бишкек,На 100 000 населения,6.5
