Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2010,Annual,National,Consumer price index for food products,Чуйская область,Процент,128.672851
2011,Annual,National,Consumer price index for food products,Чуйская область,Процент,102.493938
2012,Annual,National,Consumer price index for food products,Чуйская область,Процент,103.92528
2013,Annual,National,Consumer price index for food products,Чуйская область,Процент,102.312574
2014,Annual,National,Consumer price index for food products,Чуйская область,Процент,114.643974
2015,Annual,National,Consumer price index for food products,Чуйская область,Процент,95.710818
2016,Annual,National,Consumer price index for food products,Чуйская область,Процент,95.89276
2017,Annual,National,Consumer price index for food products,Чуйская область,Процент,102.559508
2018,Annual,National,Consumer price index for food products,Чуйская область,Процент,96.302209
2007,Annual,National,Consumer price index for food products,г. Бишкек,Процент,131.950406
2008,Annual,National,Consumer price index for food products,г. Бишкек,Процент,117.83137
2009,Annual,National,Consumer price index for food products,г. Бишкек,Процент,92.340833
2010,Annual,National,Consumer price index for food products,г. Бишкек,Процент,123.722482
2011,Annual,National,Consumer price index for food products,г. Бишкек,Процент,103.406938
2012,Annual,National,Consumer price index for food products,г. Бишкек,Процент,103.832086
2013,Annual,National,Consumer price index for food products,г. Бишкек,Процент,101.221964
2014,Annual,National,Consumer price index for food products,г. Бишкек,Процент,110.997582
2015,Annual,National,Consumer price index for food products,г. Бишкек,Процент,97.00121
2016,Annual,National,Consumer price index for food products,г. Бишкек,Процент,94.519576
2017,Annual,National,Consumer price index for food products,г. Бишкек,Процент,101.578366
2018,Annual,National,Consumer price index for food products,г. Бишкек,Процент,97.346546
2007,Annual,National,Consumer price index for food products,г. Ош,Процент,130.503251
2008,Annual,National,Consumer price index for food products,г. Ош,Процент,132.389129
2009,Annual,National,Consumer price index for food products,г. Ош,Процент,91.207604
2010,Annual,National,Consumer price index for food products,г. Ош,Процент,133.714976
2011,Annual,National,Consumer price index for food products,г. Ош,Процент,103.635522
2012,Annual,National,Consumer price index for food products,г. Ош,Процент,106.985188
2013,Annual,National,Consumer price index for food products,г. Ош,Процент,104.5544
2014,Annual,National,Consumer price index for food products,г. Ош,Процент,118.553298
2015,Annual,National,Consumer price index for food products,г. Ош,Процент,93.999692
2016,Annual,National,Consumer price index for food products,г. Ош,Процент,94.914537
2017,Annual,National,Consumer price index for food products,г. Ош,Процент,103.95699
2018,Annual,National,Consumer price index for food products,г. Ош,Процент,98.011361
