Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Ошская область,Процент,0.010609
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Ошская область,Процент,0.00357
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Ошская область,Процент,4.302561
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Ошская область,Процент,0.049422
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Ошская область,Процент,0.702855
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Ошская область,Процент,0.03
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.210978
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.051951
2009,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.405354
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.29974
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.045177
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.518047
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.05949
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.008098
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.061365
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.517318
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.092032
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Таласская область,Процент,0.0
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.035582
2010,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.005701
2011,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.01326
2012,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.004035
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.029168
2014,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.033948
2015,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.033197
2016,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.118862
2017,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.234678
2018,Annual,National,Direct economic loss attributed to disasters relative to GDP,Чуйская область,Процент,0.01
2007,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.063779
2008,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.060758
2013,Annual,National,Direct economic loss attributed to disasters relative to GDP,г. Бишкек,Процент,0.00051
