Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.6
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NV_IND_SSIS,,PT,1.7
