Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),Units,Value
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Kyrgyzstan,"Per 100,000 population",4.5
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Kyrgyzstan,"Per 100,000 population",4.4
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Kyrgyzstan,"Per 100,000 population",3.5
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Kyrgyzstan,"Per 100,000 population",3.8
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Kyrgyzstan,"Per 100,000 population",3.1
2014,Annual,National,Number of victims of intentional homicide,Kyrgyzstan,Number,262.0
2015,Annual,National,Number of victims of intentional homicide,Kyrgyzstan,Number,262.0
2016,Annual,National,Number of victims of intentional homicide,Kyrgyzstan,Number,209.0
2017,Annual,National,Number of victims of intentional homicide,Kyrgyzstan,Number,232.0
2018,Annual,National,Number of victims of intentional homicide,Kyrgyzstan,Number,196.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Баткенская область,"Per 100,000 population",1.9
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Баткенская область,"Per 100,000 population",1.6
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Баткенская область,"Per 100,000 population",1.6
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Баткенская область,"Per 100,000 population",1.2
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Баткенская область,"Per 100,000 population",2.3
2014,Annual,National,Number of victims of intentional homicide,Баткенская область,Number,9.0
2015,Annual,National,Number of victims of intentional homicide,Баткенская область,Number,8.0
2016,Annual,National,Number of victims of intentional homicide,Баткенская область,Number,8.0
2017,Annual,National,Number of victims of intentional homicide,Баткенская область,Number,6.0
2018,Annual,National,Number of victims of intentional homicide,Баткенская область,Number,12.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Жалал-Абад область,"Per 100,000 population",3.6
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Жалал-Абад область,"Per 100,000 population",3.0
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Жалал-Абад область,"Per 100,000 population",2.5
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Жалал-Абад область,"Per 100,000 population",1.9
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Жалал-Абад область,"Per 100,000 population",1.8
2014,Annual,National,Number of victims of intentional homicide,Жалал-Абад область,Number,40.0
2015,Annual,National,Number of victims of intentional homicide,Жалал-Абад область,Number,34.0
2016,Annual,National,Number of victims of intentional homicide,Жалал-Абад область,Number,29.0
2017,Annual,National,Number of victims of intentional homicide,Жалал-Абад область,Number,23.0
2018,Annual,National,Number of victims of intentional homicide,Жалал-Абад область,Number,22.0
2014,Annual,National,"Number of victims of intentional homicide per 100,000 population",Иссык-Кульская область,"Per 100,000 population",6.3
2015,Annual,National,"Number of victims of intentional homicide per 100,000 population",Иссык-Кульская область,"Per 100,000 population",6.2
2016,Annual,National,"Number of victims of intentional homicide per 100,000 population",Иссык-Кульская область,"Per 100,000 population",4.2
2017,Annual,National,"Number of victims of intentional homicide per 100,000 population",Иссык-Кульская область,"Per 100,000 population",4.8
2018,Annual,National,"Number of victims of intentional homicide per 100,000 population",Иссык-Кульская область,"Per 100,000 population",3.5
2014,Annual,National,Number of victims of intentional homicide,Иссык-Кульская область,Number,29.0
2015,Annual,National,Number of victims of intentional homicide,Иссык-Кульская область,Number,29.0
2016,Annual,National,Number of victims of intentional homicide,Иссык-Кульская область,Number,20.0
2017,Annual,National,Number of victims of intentional homicide,Иссык-Кульская область,Number,23.0
2018,Annual,National,Number of victims of intentional homicide,Иссык-Кульская область,Number,17.0
