Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2013,Годовая,Национальный,"Средняя доля важных с точки зрения биологического разнообразия горных районов (КРБ), находящихся под охраной",Киргизия,Процент,6.01
2014,Годовая,Национальный,"Средняя доля важных с точки зрения биологического разнообразия горных районов (КРБ), находящихся под охраной",Киргизия,Процент,6.01
2015,Годовая,Национальный,"Средняя доля важных с точки зрения биологического разнообразия горных районов (КРБ), находящихся под охраной",Киргизия,Процент,6.01
2016,Годовая,Национальный,"Средняя доля важных с точки зрения биологического разнообразия горных районов (КРБ), находящихся под охраной",Киргизия,Процент,7.3
2017,Годовая,Национальный,"Средняя доля важных с точки зрения биологического разнообразия горных районов (КРБ), находящихся под охраной",Киргизия,Процент,7.38
2018,Годовая,Национальный,"Средняя доля важных с точки зрения биологического разнообразия горных районов (КРБ), находящихся под охраной",Киргизия,Процент,7.38
