Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EN_HAZ_PCAP,,KG,23.205713
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EN_HAZ_PCAP,,KG,1736.99
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EN_HAZ_PCAP,,KG,2008.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EN_HAZ_PCAP,,KG,2015.49
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,EN_HAZ_PCAP,,KG,1878.49
