Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.2
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.0
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,3.7
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.5
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,4.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080901_01,,PT,5.0
