Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,-1.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,4.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,-1.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,8.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,1.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,1.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,2.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,2.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,NY_GDP_PCAP,,PT,1.7
