From,To
Статус наблюдения,Множитель
Множитель,Характер данных
Характер данных,Частота наблюдений
Частота наблюдений,Тип отчетности
Тип отчетности,Пол
Тип отчетности,Возраст
Тип отчетности,Тип местности
Тип отчетности,Вид экономической деятельности
