From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,REF_AREA
