From,To
concept.FREQ,concept.REPORTING_TYPE
concept.REPORTING_TYPE,concept.REF_AREA
concept.REF_AREA,concept.SEX
concept.REF_AREA,concept.AGE
concept.REF_AREA,concept.URBANISATION
concept.REF_AREA,concept.ACTIVITY
