From,To
concept.FREQ,concept.REPORTING_TYPE
concept.REPORTING_TYPE,concept.REF_AREA
concept.REF_AREA,concept.URBANISATION
concept.REF_AREA,concept.INCOME_WEALTH_QUANTILE
concept.REF_AREA,concept.EDUCATION_LEV
