Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG08,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,41
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG08,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,31
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG08,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,35
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,32
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,34
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,18
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,23
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,26
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,19
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,19
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,11
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,15
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,,CL_UNIT_MEASURE.PER_100000_POP,13
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,23
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,27
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,11
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,4
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,11
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,15
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,14
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,12
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,15
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,7
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,42
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,42
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,26
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,15
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,37
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,39
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,24
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,28
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,18
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,15
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,15
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG11,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,19
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,,CL_UNIT_MEASURE.PER_100000_POP,4
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,,CL_UNIT_MEASURE.PER_100000_POP,4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,,CL_UNIT_MEASURE.PER_100000_POP,12
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,,CL_UNIT_MEASURE.PER_100000_POP,4
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,CL_SEX.F,CL_UNIT_MEASURE.PER_100000_POP,15
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_030901_1,CL_AREA.KG21,CL_SEX.M,CL_UNIT_MEASURE.PER_100000_POP,8
