Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,643.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,645.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,632.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG05,,CL_UNIT_MEASURE.M_M3_PER_YR,647.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,695.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,1197.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,716.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,716.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,781.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,985.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,948.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,936.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG03,,CL_UNIT_MEASURE.M_M3_PER_YR,926.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,555.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,905.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,966.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,628.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,628.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,578.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,524.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,623.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG02,,CL_UNIT_MEASURE.M_M3_PER_YR,621.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,592.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,590.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,636.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,644.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,607.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,620.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,607.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,614.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG04,,CL_UNIT_MEASURE.M_M3_PER_YR,642.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1290.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1160.5
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1439.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1392.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1133.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1190.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1125.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1183.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG06,,CL_UNIT_MEASURE.M_M3_PER_YR,1144.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,828.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,884.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,904.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,938.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,882.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,1011.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,944.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,991.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG07,,CL_UNIT_MEASURE.M_M3_PER_YR,963.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,2803.6
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,3138.1
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,4140.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,3039.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,2833.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,2368.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,2367.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,2500.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG08,,CL_UNIT_MEASURE.M_M3_PER_YR,2634.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,135.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_060402_1,CL_AREA.KG11,,CL_UNIT_MEASURE.M_M3_PER_YR,113.4
