Year,FREQ,REPORTING_TYPE,Series,REF_AREA,AGE,Units,Value
2014,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,12.209828
2015,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,8.720930000000001
2016,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,11.227763000000001
2017,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,9.984399
2018,A,N,SH_DYN_NMRT,KG04,M0,PER_1000_LIVE_BIRTHS,8.2
2007,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,12.608002
2008,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,13.417951
2009,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,10.630954
2010,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,10.695524
2011,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,8.214286
2012,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,6.444122
2013,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,5.10597
2014,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,5.045162
2015,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,4.312545
2016,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,3.485959
2017,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,3.098263
2018,A,N,SH_DYN_NMRT,KG06,M0,PER_1000_LIVE_BIRTHS,3.4
2007,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,28.86102
2008,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,24.548244
2009,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,25.589948
2010,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,19.147084
2011,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,16.905248999999998
2012,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,15.341308999999999
2013,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,19.851851999999997
2014,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,16.656751999999997
2015,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,12.700333
2016,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,12.336039999999999
2017,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,12.267905
2018,A,N,SH_DYN_NMRT,KG07,M0,PER_1000_LIVE_BIRTHS,16.7
2007,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,21.918468
2008,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,19.965577
2009,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,18.539076
2010,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,16.0724
2011,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,15.37476
2012,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,14.294878
2013,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,14.537282999999999
2014,A,N,SH_DYN_NMRT,KG08,M0,PER_1000_LIVE_BIRTHS,13.354037
