Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GB_XPD_RSDV,CL_AREA.KG,CL_UNIT_MEASURE.PT,0.8
