Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,29.6
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,29.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,30.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,28.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,26.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,27.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,28.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,26.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_EMP_GTOTL,CL_AREA.KG,CL_UNIT_MEASURE.PT,29.4
