Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_3,CL_UNIT_MEASURE.PT,77.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_3,CL_UNIT_MEASURE.PT,73.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_4,CL_UNIT_MEASURE.PT,80.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_4,CL_UNIT_MEASURE.PT,70.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,81.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,69.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q1,,CL_UNIT_MEASURE.PT,76.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q1,,CL_UNIT_MEASURE.PT,72.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q2,,CL_UNIT_MEASURE.PT,80.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q2,,CL_UNIT_MEASURE.PT,70.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q3,,CL_UNIT_MEASURE.PT,73.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q3,,CL_UNIT_MEASURE.PT,67.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q4,,CL_UNIT_MEASURE.PT,79.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q4,,CL_UNIT_MEASURE.PT,71.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q5,,CL_UNIT_MEASURE.PT,84.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SE_DEV_ONTRK,CL_AREA.KG,,CL_AGE.Y0T4,CL_QUANTILE.Q5,,CL_UNIT_MEASURE.PT,78.0
