Year,REF_AREA,SEX,Value
2010,KG04,F,85.5
2011,KG04,F,86.159148
2012,KG04,F,83.765487
2013,KG04,F,76.0
2014,KG04,F,87.0
2015,KG04,F,75.0
2016,KG04,F,63.3
2017,KG04,F,49.0
2018,KG04,F,47.075606
2007,KG04,M,104.664525
2008,KG04,M,108.341574
2009,KG04,M,106.394379
2010,KG04,M,121.9
2011,KG04,M,104.08086899999999
2012,KG04,M,125.735925
2013,KG04,M,104.4
2014,KG04,M,109.0
2015,KG04,M,94.2
2016,KG04,M,91.0
2017,KG04,M,69.6
2018,KG04,M,88.116038
2007,KG06,,102.866708
2008,KG06,,97.93956999999999
2009,KG06,,99.50311500000001
2010,KG06,,90.272855
2011,KG06,,86.981785
2012,KG06,,89.531841
2013,KG06,,97.42358399999999
2014,KG06,,90.681619
2015,KG06,,91.23786899999999
2016,KG06,,83.857442
2017,KG06,,84.4
2018,KG06,,75.003106
2007,KG06,F,85.479058
2008,KG06,F,79.853854
2009,KG06,F,84.498903
2010,KG06,F,83.3
2011,KG06,F,78.306875
2012,KG06,F,79.852654
2013,KG06,F,89.2
2014,KG06,F,82.7
2015,KG06,F,83.8
2016,KG06,F,78.4
2017,KG06,F,73.3
2018,KG06,F,68.791282
2007,KG06,M,120.17593500000001
2008,KG06,M,115.96536599999999
2009,KG06,M,114.26834299999999
2010,KG06,M,97.1
2011,KG06,M,95.537626
2012,KG06,M,99.072585
2013,KG06,M,105.5
2014,KG06,M,98.5
2015,KG06,M,98.5
2016,KG06,M,89.2
2017,KG06,M,95.3
2018,KG06,M,81.086922
2007,KG07,,109.772016
2008,KG07,,98.863075
2009,KG07,,98.836801
2010,KG07,,105.89956000000001
2011,KG07,,107.889182
2012,KG07,,96.876369
2013,KG07,,106.455247
2014,KG07,,101.92599399999999
2015,KG07,,95.886509
2016,KG07,,83.723318
2017,KG07,,73.9
2018,KG07,,59.722977
2007,KG07,F,86.911498
2008,KG07,F,90.931636
2009,KG07,F,76.560919
2010,KG07,F,87.0
2011,KG07,F,90.31325799999999
2012,KG07,F,85.593946
2013,KG07,F,89.3
2014,KG07,F,89.6
2015,KG07,F,81.0
2016,KG07,F,67.0
2017,KG07,F,66.0
2018,KG07,F,46.443942
2007,KG07,M,132.527127
2008,KG07,M,106.730401
2009,KG07,M,121.03776699999999
2010,KG07,M,124.6
2011,KG07,M,125.307942
2012,KG07,M,108.024821
2013,KG07,M,123.4
2014,KG07,M,114.1
2015,KG07,M,110.5
2016,KG07,M,100.1
2017,KG07,M,81.6
2018,KG07,M,72.71735699999999
2007,KG08,,158.506191
2008,KG08,,166.836568
2009,KG08,,155.18168899999998
2010,KG08,,154.517607
2011,KG08,,158.53919199999999
2012,KG08,,156.78039099999998
2013,KG08,,144.320612
2014,KG08,,129.231041
2015,KG08,,141.654663
2016,KG08,,135.218207
2017,KG08,,136.2
2018,KG08,,124.217601
2007,KG08,F,125.927217
2008,KG08,F,125.534299
2009,KG08,F,117.922225
2010,KG08,F,125.0
2011,KG08,F,112.21888200000001
2012,KG08,F,111.42140500000001
2013,KG08,F,108.3
2014,KG08,F,108.3
2015,KG08,F,118.6
2016,KG08,F,111.0
2017,KG08,F,108.3
2018,KG08,F,99.197956
2007,KG08,M,191.988363
2008,KG08,M,209.227296
2009,KG08,M,193.791585
2010,KG08,M,185.1
2011,KG08,M,206.421677
2012,KG08,M,203.602691
2013,KG08,M,181.5
2014,KG08,M,150.8
2015,KG08,M,165.4
2016,KG08,M,160.2
2017,KG08,M,165.0
2018,KG08,M,150.009376
2007,KG11,,174.387607
2008,KG11,,123.075571
2009,KG11,,114.473037
2010,KG11,,113.11275800000001
2011,KG11,,114.984154
2012,KG11,,123.691851
2013,KG11,,126.393198
2014,KG11,,133.511493
2015,KG11,,132.924152
2016,KG11,,114.6052
2017,KG11,,113.1
2018,KG11,,102.592405
2007,KG11,F,121.38989099999999
2008,KG11,F,101.464217
2009,KG11,F,90.39282
2010,KG11,F,91.9
2011,KG11,F,90.229385
2012,KG11,F,97.405136
2013,KG11,F,110.2
2014,KG11,F,108.1
2015,KG11,F,103.1
2016,KG11,F,92.2
2017,KG11,F,91.3
2018,KG11,F,75.045722
2007,KG11,M,232.39882599999999
2008,KG11,M,146.69989099999998
2009,KG11,M,142.327909
2010,KG11,M,137.6
2011,KG11,M,143.52973899999998
2012,KG11,M,153.949048
2013,KG11,M,145.0
2014,KG11,M,162.1
2015,KG11,M,167.0
2016,KG11,M,140.2
2017,KG11,M,137.8
2018,KG11,M,133.887972
2007,KG21,,103.296686
2008,KG21,,99.531522
2009,KG21,,99.784188
2010,KG21,,85.444525
2011,KG21,,88.724902
2012,KG21,,98.39240799999999
2013,KG21,,83.705251
2014,KG21,,103.082002
2015,KG21,,89.736358
2016,KG21,,92.52618000000001
2017,KG21,,89.7
2018,KG21,,84.314452
2007,KG21,F,83.113365
2008,KG21,F,63.749058999999995
2009,KG21,F,82.603422
2010,KG21,F,68.0
2011,KG21,F,75.03507900000001
2012,KG21,F,78.139535
2013,KG21,F,64.4
2014,KG21,F,92.2
2015,KG21,F,78.5
2016,KG21,F,77.6
2017,KG21,F,75.3
2018,KG21,F,83.024189
2007,KG21,M,125.184647
2008,KG21,M,138.35178
2009,KG21,M,118.375597
2010,KG21,M,104.4
2011,KG21,M,103.609189
2012,KG21,M,120.37972099999999
2013,KG21,M,104.5
2014,KG21,M,114.8
2015,KG21,M,101.8
2016,KG21,M,108.5
2017,KG21,M,105.2
2018,KG21,M,85.689803
