Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2008,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,30.771224
2009,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,33.821599
2010,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,15.377517999999998
2011,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,27.737893
2012,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,38.780044000000004
2013,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,30.9
2014,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,28.7
2015,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,30.4
2016,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,15.6
2017,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,5.8
2018,A,N,SH_HAP_HBSAG,KG21,M,PER_100000_POP,11.238007000000001
