Year,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,Units,Value
2007,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,5.870303
2008,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,6.4034
2009,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,6.305723
2010,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,5.922974
2011,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,4.782698
2012,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,8.916337
2013,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,7.2
2014,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,5.8
2015,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,4.4
2016,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,2.6
2017,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,3.3
2018,A,N,SH_HAP_HBSAG,KG03,,PER_100000_POP,2.661109
2007,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,4.656511
2008,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,4.604632
2009,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,5.719538
2010,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,4.08245
2011,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,4.788933
2012,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,7.898627
2013,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,6.6
2014,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,3.3
2015,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,3.5
2016,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,2.4
2017,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,2.7
2018,A,N,SH_HAP_HBSAG,KG03,F,PER_100000_POP,1.673357
2007,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,7.083701
2008,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,8.200459
2009,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,6.89089
2010,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,7.759592
2011,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,4.77648
2012,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,9.930263
2013,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,7.7
2014,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,8.3
2015,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,5.3
2016,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,2.8
2017,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,3.9
2018,A,N,SH_HAP_HBSAG,KG03,M,PER_100000_POP,3.636935
2007,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,10.136497
2008,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,7.333378
2009,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,9.101396000000001
2010,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,9.256730000000001
2011,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,10.980097
2012,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,8.209561
2013,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,9.9
2014,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,6.9
2015,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,5.4
2016,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,4.4
2017,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,4.6
2018,A,N,SH_HAP_HBSAG,KG02,,PER_100000_POP,6.168093
2007,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,6.813722
2008,A,N,SH_HAP_HBSAG,KG02,F,PER_100000_POP,5.881022
