Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2007,A,N,_L_KG_020C01_1B,KG11,PT,131.95040600000002
2008,A,N,_L_KG_020C01_1B,KG11,PT,117.83136999999999
2009,A,N,_L_KG_020C01_1B,KG11,PT,92.34083299999999
2010,A,N,_L_KG_020C01_1B,KG11,PT,123.72248200000001
2011,A,N,_L_KG_020C01_1B,KG11,PT,103.406938
2012,A,N,_L_KG_020C01_1B,KG11,PT,103.832086
2013,A,N,_L_KG_020C01_1B,KG11,PT,101.221964
2014,A,N,_L_KG_020C01_1B,KG11,PT,110.99758200000001
2015,A,N,_L_KG_020C01_1B,KG11,PT,97.00121
2016,A,N,_L_KG_020C01_1B,KG11,PT,94.519576
2017,A,N,_L_KG_020C01_1B,KG11,PT,101.578366
2018,A,N,_L_KG_020C01_1B,KG11,PT,97.34654599999999
2007,A,N,_L_KG_020C01_1B,KG21,PT,130.503251
2008,A,N,_L_KG_020C01_1B,KG21,PT,132.389129
2009,A,N,_L_KG_020C01_1B,KG21,PT,91.207604
2010,A,N,_L_KG_020C01_1B,KG21,PT,133.714976
2011,A,N,_L_KG_020C01_1B,KG21,PT,103.635522
2012,A,N,_L_KG_020C01_1B,KG21,PT,106.985188
2013,A,N,_L_KG_020C01_1B,KG21,PT,104.5544
2014,A,N,_L_KG_020C01_1B,KG21,PT,118.553298
2015,A,N,_L_KG_020C01_1B,KG21,PT,93.99969200000001
2016,A,N,_L_KG_020C01_1B,KG21,PT,94.914537
2017,A,N,_L_KG_020C01_1B,KG21,PT,103.95699
2018,A,N,_L_KG_020C01_1B,KG21,PT,98.011361
