Year,FREQ,REPORTING_TYPE,Series,REF_AREA,Units,Value
2010,A,N,VC_HTF_DETV,KG,NUMBER,21
2011,A,N,VC_HTF_DETV,KG,NUMBER,5
2012,A,N,VC_HTF_DETV,KG,NUMBER,6
2013,A,N,VC_HTF_DETV,KG,NUMBER,9
2014,A,N,VC_HTF_DETV,KG,NUMBER,19
2015,A,N,VC_HTF_DETV,KG,NUMBER,8
2016,A,N,VC_HTF_DETV,KG,NUMBER,10
2017,A,N,VC_HTF_DETV,KG,NUMBER,5
2018,A,N,VC_HTF_DETV,KG,NUMBER,8
