Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,Units,Value
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,9.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,9.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,9.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,8.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,8.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,,,CL_UNIT_MEASURE.PT,8.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.M,,CL_UNIT_MEASURE.PT,4.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,10.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,9.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG02,CL_SEX.F,,CL_UNIT_MEASURE.PT,10.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,10.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,9.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,9.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,9.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,9.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,8.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,,,CL_UNIT_MEASURE.PT,8.8
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,14.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,14.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,15.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,13.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,14.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,12.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.M,,CL_UNIT_MEASURE.PT,15.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,8.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,7.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG04,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,6.61
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,6.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,6.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,6.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,5.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,5.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,,,CL_UNIT_MEASURE.PT,4.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,7.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.M,,CL_UNIT_MEASURE.PT,6.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,5.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,6.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,4.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,4.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,3.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG06,CL_SEX.F,,CL_UNIT_MEASURE.PT,2.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,5.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,3.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,3.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,3.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,2.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,2.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,,,CL_UNIT_MEASURE.PT,2.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,5.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,4.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,6.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,5.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,5.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,4.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.M,,CL_UNIT_MEASURE.PT,3.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,4.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,2.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,1.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,1.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,1.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,0.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG07,CL_SEX.F,,CL_UNIT_MEASURE.PT,1.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,10.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,9.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,8.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,8.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,8.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,8.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,,,CL_UNIT_MEASURE.PT,7.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,11.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,10.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,9.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_UEM,CL_AREA.KG08,CL_SEX.M,,CL_UNIT_MEASURE.PT,8.2
