Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG,CL_UNIT_MEASURE.PT,5.6
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,9.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,1.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,1.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,9.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,9.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,9.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,0.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG05,CL_UNIT_MEASURE.PT,0.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,4.1
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,2.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,2.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,12.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,12.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,12.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,2.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG03,CL_UNIT_MEASURE.PT,1.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,3.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,0.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,0.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,3.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,3.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,3.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,0.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG02,CL_UNIT_MEASURE.PT,0.7
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,3.1
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,0.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,0.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,3.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,3.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,3.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,0.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG04,CL_UNIT_MEASURE.PT,0.7
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,6.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,0.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,0.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,6.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,6.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,6.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,0.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG06,CL_UNIT_MEASURE.PT,0.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,4.5
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,0.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,0.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_150101_1,CL_AREA.KG07,CL_UNIT_MEASURE.PT,4.5
