Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,Units,Value
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,55.5006
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,51.6
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,55.809151
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,73.452418
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,42.634369
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,53.092169
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,48.1
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,47.848938
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,48.420366
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,49.514891
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,45.039446
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,41.917619
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,41.073296
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,40.705385
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,45.363875
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,48.57992
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,45.06
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,46.84518
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,43.9253
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,47.0111
