Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,Units,Value
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,49.613657
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,57.113622
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,56.048502
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,42.225864
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,48.801285
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,44.743736
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,46.638489
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,39.560145
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,38.135796
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,41.962558
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,42.399891
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,23.469023
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,27.367498
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,28.689411
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,27.3539
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,34.8662
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,36.1
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,46.583904
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,64.318147
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,39.251547
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,39.42033
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,33.925261
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,33.550114
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,27.796785
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,31.993627
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,32.482469
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,35.879613
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,30.869436
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,39.349758
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,35.689813
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,44.223608
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,51.04221
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,52.441412
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,43.6365
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,58.4127
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,41.2
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,68.003731
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,85.640504
2002,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,68.047002
2003,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,65.35321
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,47.93348
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,48.511241
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,37.044933
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,40.680531
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,39.336853
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,35.924393
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,39.823376
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,49.68253
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,63.775511
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,43.930005
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,54.032632
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,65.190118
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,49.217
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,60.2912
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,51.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,69.262253
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,67.223461
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,67.700759
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,54.4469
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,72.2366
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,70.1
