Year,Frequency of observation,Reporting type,SDG Series,Reference area,Unit of measure,Value
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh,Index,18.022223
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh,Index,0.07912999999999999
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh,Index,16.9
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh,Index,5.4
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh,Index,12.597911
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Talas,Index,16.930726999999997
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Talas,Index,15.126176999999998
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Talas,Index,17.2
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Talas,Index,24.8
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Talas,Index,29.450445000000002
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Chui,Index,25.703179000000002
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Chui,Index,26.618610999999998
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Chui,Index,28.8
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Chui,Index,16.2
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Chui,Index,17.355551000000002
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Bishkek (city),Index,-9.015999
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Bishkek (city),Index,-11.403692999999999
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Bishkek (city),Index,-3.4
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Bishkek (city),Index,-12.8
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Bishkek (city),Index,-17.985899
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh (city),Index,10.609517
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh (city),Index,25.440447
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh (city),Index,37.2
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh (city),Index,39.6
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Osh (city),Index,22.751648
