Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,Series,REF_AREA,SEX,AGE,URBANISATION,ACTIVITY,Units,Value
2017,A,0,C,A,N,_L_KG_010201_1A,,,,R,,PT,20.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,,R,,PT,16.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,29.1
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,24.5
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,22.6
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_A,PT,21.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,25.7
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,17.4
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,43.5
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_B,PT,46.5
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,20.7
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,16.8
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,19.3
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_C,PT,13.0
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,10.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,6.7
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,16.8
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_D,PT,9.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,8.8
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,11.0
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,16.9
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_E,PT,14.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,30.5
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,21.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,25.2
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_F,PT,18.3
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,17.0
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,13.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,12.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_G,PT,12.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_H,PT,22.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_H,PT,20.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_H,PT,18.0
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_H,PT,14.2
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_I,PT,18.2
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_I,PT,14.0
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_I,PT,10.5
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_I,PT,10.1
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_J,PT,23.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_J,PT,12.6
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_J,PT,7.2
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_J,PT,7.4
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_K,PT,10.5
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_K,PT,7.0
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_K,PT,11.9
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_K,PT,10.7
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_L,PT,3.9
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_L,PT,1.6
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_L,PT,1.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_M,PT,19.0
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_M,PT,6.4
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_M,PT,10.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_M,PT,6.2
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_N,PT,13.6
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_N,PT,9.7
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_N,PT,17.4
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_N,PT,10.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_O,PT,16.9
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_O,PT,9.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_O,PT,10.1
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_O,PT,6.6
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_P,PT,20.4
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_P,PT,16.1
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_P,PT,18.6
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_P,PT,18.9
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_Q,PT,13.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_Q,PT,11.6
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_Q,PT,15.2
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_Q,PT,12.0
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_R,PT,24.9
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_R,PT,22.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_R,PT,13.5
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_R,PT,10.0
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_S,PT,14.3
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_S,PT,10.5
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_S,PT,9.7
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_S,PT,9.1
2015,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_T,PT,24.0
2016,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_T,PT,46.9
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_T,PT,31.5
2018,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_T,PT,23.4
2017,A,0,C,A,N,_L_KG_010201_1A,,,,,ISIC4_U,PT,15.6
