Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,73.7
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,77.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,64.8
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,67.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,68.1
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,73.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,71.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,69.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,65.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,71.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,69.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.GC_GOB_TAXD,CL_AREA.KG,CL_UNIT_MEASURE.PT,76.9
