Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,214.643352
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,223.172865
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,183.173589
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,214.906582
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,178.260402
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,195.243858
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,170.944426
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,165.143944
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_110601_1,CL_AREA.KG,CL_UNIT_MEASURE.KG,171.426688
