Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.AGE,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG04,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,4.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG06,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,4.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG06,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,5.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG07,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,7.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG07,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,2.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG08,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,9.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG08,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,11.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG11,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,9.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG11,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,7.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG21,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,4.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_STA_OVWGT,CL_AREA.KG21,CL_AGE.Y0T4,CL_UNIT_MEASURE.PT,3.3
