Year,SERIES,REF_AREA,SEX,Value
2017,SL_EMP_FTLINJUR,KG21,,7.657553999999999
2018,SL_EMP_FTLINJUR,KG21,,2.617458
2007,SL_EMP_FTLINJUR,KG21,M,10.292301
2008,SL_EMP_FTLINJUR,KG21,M,15.067048000000002
2009,SL_EMP_FTLINJUR,KG21,M,5.023105999999999
2010,SL_EMP_FTLINJUR,KG21,M,15.020276999999998
2011,SL_EMP_FTLINJUR,KG21,M,5.037022
2012,SL_EMP_FTLINJUR,KG21,M,5.200208
2013,SL_EMP_FTLINJUR,KG21,M,16.2584
2014,SL_EMP_FTLINJUR,KG21,M,10.437869000000001
2015,SL_EMP_FTLINJUR,KG21,M,4.948046
2016,SL_EMP_FTLINJUR,KG21,M,5.088023000000001
2017,SL_EMP_FTLINJUR,KG21,M,16.135105
2018,SL_EMP_FTLINJUR,KG21,M,5.567309
