Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.EN_HAZ_PCAP,CL_AREA.KG,CL_UNIT_MEASURE.KG,23.205713
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.EN_HAZ_PCAP,CL_AREA.KG,CL_UNIT_MEASURE.KG,1736.99
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.EN_HAZ_PCAP,CL_AREA.KG,CL_UNIT_MEASURE.KG,2008.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.EN_HAZ_PCAP,CL_AREA.KG,CL_UNIT_MEASURE.KG,2015.49
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.EN_HAZ_PCAP,CL_AREA.KG,CL_UNIT_MEASURE.KG,1878.49
