Year,Frequency of observation,Reporting type,SDG Series,Reference area,Unit of measure,Value
2010,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,21
2011,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,5
2012,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,6
2013,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,9
2014,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,19
2015,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,8
2016,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,10
2017,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,5
2018,Annual,National,Detected victims of human trafficking (number),Kyrgyzstan,Number,8
