Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2014,Normal value,Units,Country Data,_T,Annual,National,_L_KG_150102_1,,KM2,4.6
2015,Normal value,Units,Country Data,_T,Annual,National,_L_KG_150102_1,,KM2,4.7
2016,Normal value,Units,Country Data,_T,Annual,National,_L_KG_150102_1,,KM2,4.8
2017,Normal value,Units,Country Data,_T,Annual,National,_L_KG_150102_1,,KM2,6.5
2018,Normal value,Units,Country Data,_T,Annual,National,_L_KG_150102_1,,KM2,6.5
