Year,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2014,Annual,National,Hazardous waste generated per capita,Kyrgyzstan,Kilograms,23.205713
2015,Annual,National,Hazardous waste generated per capita,Kyrgyzstan,Kilograms,1736.99
2016,Annual,National,Hazardous waste generated per capita,Kyrgyzstan,Kilograms,2008.5
2017,Annual,National,Hazardous waste generated per capita,Kyrgyzstan,Kilograms,2015.49
2018,Annual,National,Hazardous waste generated per capita,Kyrgyzstan,Kilograms,1878.49
