Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2010,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,89.9
2011,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,94.5
2012,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,94.4
2013,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,91.0
2014,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,94.8
2015,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,94.6
2016,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,93.5
2017,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,93.9
2018,Normal value,Units,Country Data,Annual,National,EN_WWT_WWDS,,PT,95.1
