Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2013,Normal value,Units,Country Data,*according to the SAEPF,Annual,National,ER_PTD_MTN,,PT,6.01
2014,Normal value,Units,Country Data,*according to the SAEPF,Annual,National,ER_PTD_MTN,,PT,6.01
2015,Normal value,Units,Country Data,*according to the SAEPF,Annual,National,ER_PTD_MTN,,PT,6.01
2016,Normal value,Units,Country Data,*according to the SAEPF,Annual,National,ER_PTD_MTN,,PT,7.3
2017,Normal value,Units,Country Data,*according to the SAEPF,Annual,National,ER_PTD_MTN,,PT,7.38
2018,Normal value,Units,Country Data,*according to the SAEPF,Annual,National,ER_PTD_MTN,,PT,7.38
