Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2008,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2009,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2010,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2011,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2012,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2013,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2014,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2015,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2016,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2017,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
2018,Normal value,Units,Country Data,*according to the MF of the KR,Annual,National,GB_XPD_RSDV,,PT,0.8
