Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2010,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,-1.8
2011,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,4.7
2012,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,-1.8
2013,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,8.6
2014,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,1.8
2015,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,1.7
2016,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,2.1
2017,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,2.6
2018,Normal value,Units,Country Data,Annual,National,NY_GDP_PCAP,,PT,1.7
