Year,Frequency of observation,Reporting type,Series,Reference area,Type of product,Units,Value
2010,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,24.193548
2011,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,23.225806
2012,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,19.274194
2013,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,21.612903
2014,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,23.467742
2015,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,25.16129
2016,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,34.919354999999996
2017,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,34.5
2018,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fruits and berries,PT,27.0
2010,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,146.666259
2011,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,146.492793
2012,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,145.712192
2013,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,147.44686000000002
2014,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,147.44686000000002
2015,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,146.579526
2016,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,143.659907
2017,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,129.855851
2018,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Wheat and wheat products in flour equivalent,PT,99.071586
2010,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,16.483516
2011,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,20.879120999999998
2012,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,20.879120999999998
2013,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,20.879120999999998
2014,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,20.879120999999998
2015,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,20.879120999999998
2016,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,9.602909
2017,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,9.89011
2018,Annual,National,_L_KG_020101_1E,Kyrgyzstan,Fish and fish products,PT,8.791209
