Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Composite breakdown,Units,Value
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,576.9
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,587.5
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,526.0
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,561.9
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,665.9
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,810.1
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,934.5
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,921.5
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,,CUR_LCU,962.4
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,39.2
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,41.2
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,28.2
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,22.4
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,56.2
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,71.5
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,60.4
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,52.7
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Pollution control,CUR_LCU,64.1
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,69.1
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,68.5
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,73.2
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,80.9
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,93.3
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,114.1
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,145.8
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,131.7
2018,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Nature parks and reserves,CUR_LCU,136.5
2010,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,3.6
2011,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,6.8
2012,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,4.9
2013,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,6.5
2014,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,8.4
2015,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,9.4
2016,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,10.4
2017,Normal value,Millions,Country Data,Annual,National,_L_KG_150B01_1,,Expenditure on Animal protection,CUR_LCU,9.8
